"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","Condition.Feedr","Condition.Norm","Condition.PosN","Condition.RRNe","Condition.Artery","Condition.RRNn","Condition.PosA","Condition.RRAn","Condition.RRAe"
2726,80,"RL",80,9600,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",5,7,1967,1967,"Gable","CompShg","MetalSd","MetalSd","BrkFace",140,"2","2","PConc","2","2","2","ALQ",602,"Rec",402,137,1141,"GasA","Gd","Y","3",1141,0,0,1141,1,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1967","Unf",1,568,"2","2","2",0,78,0,0,0,0,"-1","None","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2727,190,"RL",80,8800,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","RRAn","Norm","2fmCon","1Story",6,7,1965,2000,"Hip","CompShg","BrkFace","VinylSd","None",0,"2","3","PConc","2","2","1","ALQ",901,"BLQ",252,34,1187,"GasA","Ex","Y","3",1565,0,0,1565,1,0,2,0,3,1,"3",7,"1",2,"2","Attchd","1965","RFn",1,299,"2","2","2",200,25,211,0,0,0,"-1","MnPrv","Shed",460,6,2006,"WD","Abnorml",0,1,0,0,0,0,0,1,0
2728,20,"RL",NA,10368,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1964,1964,"Hip","CompShg","HdBoard","HdBoard","BrkFace",112,"2","2","CBlock","2","2","0","ALQ",260,"LwQ",748,0,1008,"GasA","Ex","Y","3",1488,0,0,1488,1,0,1,1,3,1,"2",7,"0",1,"3","Attchd","1964","Fin",2,430,"2","2","2",154,60,0,0,0,0,"-1","None","None",0,4,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2729,60,"RL",85,9350,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",5,6,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,"2","2","CBlock","2","2","0","ALQ",360,"Unf",0,360,720,"GasA","Gd","Y","3",720,720,0,1440,0,0,1,1,4,1,"2",7,"0",1,"0","Attchd","1964","Fin",2,480,"2","2","2",0,32,240,0,0,0,"-1","None","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2730,20,"RL",80,10800,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",88,"2","2","CBlock","2","2","0","ALQ",632,"Unf",0,616,1248,"GasA","Ex","Y","3",1248,0,0,1248,1,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1960","Unf",1,286,"2","2","2",0,0,0,0,0,0,"-1","MnPrv","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2731,30,"RL",60,8550,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,1934,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","0","BLQ",574,"Unf",0,242,816,"GasA","Ex","Y","3",816,0,0,816,1,0,1,0,2,1,"2",4,"0",1,"1","Attchd","1949","Unf",1,240,"2","2","2",228,0,40,0,0,0,"-1","MnPrv","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2732,20,"RL",68,9724,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1947,1950,"Hip","CompShg","BrkFace","BrkFace","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,938,938,"GasA","Ex","Y","3",1043,0,0,1043,0,0,1,0,2,1,"2",5,"0",1,"3","Detchd","1947","Unf",1,273,"2","2","2",125,48,0,0,0,0,"-1","GdWo","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2733,20,"RL",80,9600,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1961,1990,"Gable","CompShg","WdShing","Wd Shng","None",0,"2","2","CBlock","2","2","1","BLQ",915,"Unf",0,336,1251,"GasA","TA","Y","3",1433,0,0,1433,1,0,1,0,3,1,"2",7,"1",1,"3","Attchd","1961","Unf",2,441,"2","2","2",144,0,205,0,0,0,"-1","None","None",0,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2734,20,"RL",89,10858,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,1952,1952,"Gable","CompShg","Wd Sdng","Plywood","Stone",150,"2","3","CBlock","2","2","1","LwQ",40,"Unf",0,1404,1444,"GasA","Ex","Y","3",1624,0,0,1624,1,0,1,0,2,1,"2",6,"1",1,"3","Attchd","1952","RFn",1,240,"2","2","2",0,40,324,0,0,0,"-1","MnPrv","None",0,7,2006,"WD","Partial",1,1,0,0,0,0,0,0,0
2735,20,"RL",80,9600,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1951,1951,"Gable","CompShg","HdBoard","HdBoard","Stone",144,"2","2","CBlock","2","2","0","ALQ",996,"Unf",0,60,1056,"GasA","Ex","Y","2",1216,0,0,1216,1,0,1,0,3,1,"2",7,"0",0,"-1","Attchd","1951","RFn",1,280,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2736,60,"RL",79,9462,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",5,6,1949,1973,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,704,704,"GasA","Gd","Y","2",1024,704,0,1728,0,0,1,1,3,1,"2",7,"1",1,"3","Attchd","1949","Unf",1,234,"2","2","2",245,60,0,0,0,0,"-1","MnPrv","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2737,20,"RL",82,9888,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1975,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","3","CBlock","2","2","0","BLQ",486,"Unf",0,450,936,"GasA","TA","Y","2",936,0,0,936,0,0,1,0,2,1,"2",5,"0",0,"-1","Attchd","1954","Unf",1,240,"2","2","2",0,0,160,0,0,0,"-1","MnPrv","None",0,3,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2738,90,"RL",NA,8917,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,5,1967,1967,"Gable","CompShg","Plywood","Plywood","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,1584,1584,"GasA","TA","Y","3",1584,0,0,1584,0,0,2,0,4,2,"2",8,"0",0,"-1","Detchd","1967","Unf",2,506,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,10,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2739,80,"RL",NA,12700,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,"2","2","CBlock","2","2","0","ALQ",939,"Unf",0,307,1246,"GasA","TA","Y","3",1246,0,0,1246,1,0,1,0,3,1,"2",6,"0",2,"3","Attchd","1964","RFn",2,441,"2","2","2",0,69,0,0,0,0,"-1","None","None",0,11,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2740,20,"RL",109,9723,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1963,1963,"Hip","CompShg","MetalSd","MetalSd","BrkFace",332,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,1008,1008,"GasA","TA","Y","3",1008,0,0,1008,0,0,1,0,2,1,"2",5,"0",0,"-1","Attchd","1963","RFn",2,430,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,10,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2741,20,"RL",70,8400,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,5,1957,1957,"Gable","CompShg","BrkFace","BrkFace","None",0,"2","2","CBlock","1","2","1","BLQ",623,"Unf",0,556,1179,"GasA","Gd","Y","3",1364,0,0,1364,0,0,1,1,3,1,"2",6,"0",1,"3","Attchd","1957","RFn",1,331,"2","2","2",0,60,0,0,0,0,"-1","GdPrv","None",0,3,2006,"WD","Normal",1,1,0,0,0,0,0,0,0
2742,20,"RL",NA,9610,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",632,"2","2","CBlock","2","2","0","Rec",203,"Unf",0,918,1121,"GasA","Ex","Y","2",1336,0,0,1336,0,0,1,1,3,1,"2",7,"0",1,"2","Attchd","1958","RFn",2,488,"2","2","2",80,0,0,0,0,0,"-1","None","None",0,12,2006,"WD","Normal",1,1,0,0,0,0,0,0,0
2743,80,"RL",125,10000,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","SLvl",5,6,1956,1956,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",272,"2","2","CBlock","2","2","2","BLQ",678,"Rec",281,99,1058,"GasA","Ex","Y","3",1370,0,0,1370,1,0,1,0,3,1,"2",6,"0",1,"2","Basment","1956","RFn",1,300,"2","2","2",191,0,0,0,120,0,"-1","MnPrv","None",0,2,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2744,20,"RL",72,10152,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1956,1994,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","2","BLQ",914,"Unf",0,210,1124,"GasA","Ex","Y","3",1124,0,0,1124,1,0,1,0,3,1,"2",6,"0",1,"2","Attchd","1956","Fin",1,353,"2","2","2",0,211,180,0,142,0,"-1","None","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2745,20,"RL",70,8092,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,1954,2000,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",176,"2","3","CBlock","2","2","0","ALQ",824,"Unf",0,226,1050,"GasA","Ex","Y","3",1050,0,0,1050,1,0,1,0,3,1,"3",6,"0",0,"-1","Attchd","1954","RFn",1,286,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,6,2006,"WD","Abnorml",0,2,0,0,0,0,0,0,0
2746,20,"RL",66,12778,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1952,2003,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","0","GLQ",658,"Unf",0,350,1008,"GasA","Ex","Y","2",1008,0,0,1008,1,0,1,0,2,1,"2",4,"0",0,"-1","Attchd","1952","RFn",1,280,"2","2","2",0,154,0,0,0,0,"-1","MnPrv","None",0,1,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2747,20,"RL",75,10170,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1951,1951,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",522,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,216,216,"GasA","TA","Y","3",1575,0,0,1575,0,0,1,1,2,1,"3",5,"0",1,"3","Attchd","1951","Unf",2,400,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2748,80,"RL",55,7700,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",5,7,1956,1956,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","2","CBlock","3","2","0","BLQ",271,"Unf",0,30,301,"GasA","Ex","Y","2",1145,0,0,1145,0,0,1,0,3,1,"2",6,"2",0,"-1","Detchd","1993","Unf",2,684,"2","2","2",0,0,0,0,0,0,"-1","GdWo","None",0,9,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2749,20,"RL",65,11050,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1956,1956,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","0","LwQ",488,"Unf",0,517,1005,"GasA","Ex","Y","3",1005,0,0,1005,0,0,1,0,2,1,"2",6,"0",1,"2","Attchd","1956","Unf",1,319,"2","2","2",0,0,0,0,288,0,"-1","None","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2750,20,"RL",80,13600,"Pave","None","Reg","Bnk","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1955,1955,"Gable","CompShg","HdBoard","HdBoard","None",0,"2","2","CBlock","2","2","0","Rec",144,"BLQ",912,0,1056,"GasA","Gd","Y","3",1056,0,0,1056,1,0,1,1,3,1,"2",6,"0",0,"-1","Attchd","1955","Fin",1,300,"2","2","2",0,0,0,0,0,0,"-1","MnPrv","Shed",650,11,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2751,20,"RL",85,15428,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1951,1991,"Hip","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","0","Rec",741,"Unf",0,143,884,"GasA","Ex","Y","3",884,0,0,884,1,0,1,0,2,1,"2",4,"0",0,"-1","Attchd","1951","Fin",1,270,"2","2","2",0,0,0,0,195,0,"-1","None","None",0,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2752,30,"RL",118,21299,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",7,5,1941,1963,"Hip","WdShake","BrkFace","BrkFace","None",0,"3","2","CBlock","2","2","0","Unf",0,"Unf",0,929,929,"GasA","Ex","Y","3",2039,0,0,2039,1,0,1,1,3,1,"2",7,"1",3,"3","2Types","1941","Unf",3,791,"2","2","2",0,0,90,0,0,0,"-1","None","None",0,12,2006,"COD","Abnorml",0,2,0,0,0,0,0,0,0
2753,20,"RL",70,13300,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1956,2001,"Hip","CompShg","Wd Sdng","VinylSd","None",0,"2","2","CBlock","2","2","0","Rec",494,"Unf",0,521,1015,"GasA","Gd","Y","3",1384,0,0,1384,1,0,1,0,2,1,"2",6,"1",0,"-1","Attchd","2001","Unf",2,896,"2","2","2",75,0,0,323,0,0,"-1","None","Shed",400,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2754,190,"RL",94,22136,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","2fmCon","1.5Fin",5,5,1925,1975,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","1","CBlock","2","2","1","GLQ",1018,"Unf",0,1153,2171,"GasA","TA","Y","3",1392,1248,0,2640,2,0,2,1,5,1,"2",10,"4",1,"3","Attchd","1977","RFn",3,1008,"2","2","0",631,48,148,0,0,0,"-1","None","None",0,7,2006,"WD","Normal",0,1,0,0,1,0,0,0,0
2755,50,"RL",50,7500,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",6,6,1947,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","2","CBlock","2","2","0","Unf",0,"Unf",0,784,784,"GasA","Ex","Y","2",900,412,0,1312,0,0,1,1,3,1,"2",6,"0",0,"-1","Detchd","1953","Unf",2,649,"2","2","2",0,28,0,0,0,0,"-1","None","None",0,10,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2756,30,"RL",60,10410,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",3,8,1930,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","3","PConc","2","2","0","Unf",0,"Unf",0,713,713,"GasA","Ex","Y","3",713,0,0,713,0,0,1,0,2,1,"3",5,"0",0,"-1","Detchd","1936","Unf",1,371,"1","1","0",0,75,161,0,0,0,"-1","None","None",0,10,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2757,30,"RL",60,10914,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1Story",3,3,1929,1950,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"2","1","CBlock","2","2","1","Unf",0,"Unf",0,715,715,"GasA","Fa","N","0",715,0,0,715,0,0,1,0,2,1,"2",4,"0",0,"-1","Detchd","1967","Unf",2,660,"1","2","0",0,0,75,0,112,0,"-1","None","None",0,8,2006,"WD","Normal",0,1,0,0,1,0,0,0,0
2758,50,"RL",60,7008,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,8,1900,1998,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","3","BrkTil","1","1","0","Unf",0,"Unf",0,448,448,"GasA","Ex","Y","3",448,272,0,720,0,0,1,0,1,1,"1",5,"0",0,"-1","Attchd","1900","Unf",1,280,"1","2","2",0,0,70,0,0,0,"-1","None","None",0,3,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2759,70,"RL",60,7200,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",6,8,1915,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","4","CBlock","2","2","0","Rec",338,"Unf",0,325,663,"GasA","Ex","Y","3",774,821,0,1595,0,0,2,0,3,1,"2",7,"0",1,"3","Detchd","1974","Unf",2,528,"2","2","2",49,0,231,0,0,0,"-1","None","None",0,4,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2760,50,"RL",60,10818,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,4,1910,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"2","2","BrkTil","1","2","0","Unf",0,"Unf",0,1077,1077,"GasA","TA","Y","2",981,779,0,1760,0,0,1,1,4,1,"2",7,"0",1,"2","Detchd","1935","Unf",2,648,"1","2","2",120,0,96,0,0,0,"-1","None","None",0,2,2006,"COD","Abnorml",0,2,0,0,0,0,0,0,0
2761,80,"RL",83,10184,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1963,1963,"Gable","CompShg","HdBoard","HdBoard","BrkFace",379,"2","2","CBlock","2","2","2","ALQ",580,"Unf",0,503,1083,"GasA","TA","Y","3",1146,0,0,1146,0,1,1,0,3,1,"2",6,"0",1,"3","Attchd","1963","Unf",1,294,"2","2","2",345,75,0,0,0,0,"-1","None","None",0,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2762,20,"RL",77,9510,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1962,1985,"Gable","CompShg","HdBoard","HdBoard","BrkCmn",161,"2","2","CBlock","2","2","0","ALQ",701,"Unf",0,434,1135,"GasA","Ex","Y","3",1207,0,0,1207,0,0,1,1,3,1,"2",6,"0",0,"-1","Attchd","1962","RFn",1,264,"2","2","2",0,240,0,0,0,0,"-1","None","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2763,20,"RL",80,10800,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","PosA","Norm","1Fam","1Story",6,6,1961,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",104,"2","2","CBlock","2","2","0","Rec",913,"Unf",0,400,1313,"GasA","TA","Y","3",1773,0,0,1773,1,0,2,0,3,1,"2",6,"2",2,"2","Attchd","1961","RFn",2,418,"2","2","2",355,98,0,0,144,0,"-1","None","None",0,8,2006,"WD","Normal",0,1,0,0,0,0,1,0,0
2764,20,"RL",86,11650,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","PosA","Norm","1Fam","1Story",7,5,1959,1959,"Hip","CompShg","Plywood","Plywood","BrkCmn",58,"2","2","Slab","-1","-1","-1","None",0,"None",0,0,0,"GasA","Gd","Y","2",1472,0,0,1472,0,0,2,0,2,1,"3",5,"0",1,"3","Attchd","1959","Unf",2,484,"2","2","2",0,68,0,0,227,0,"-1","None","None",0,6,2006,"WD","Normal",0,1,0,0,0,0,1,0,0
2765,60,"RL",NA,18275,"Pave","None","IR1","HLS","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",7,8,1962,1998,"Gable","CompShg","Plywood","Plywood","None",0,"2","2","CBlock","2","2","3","ALQ",636,"Unf",0,802,1438,"GasA","TA","Y","3",1900,548,0,2448,1,0,3,0,3,1,"2",9,"0",2,"3","Attchd","1962","RFn",2,441,"2","2","2",520,102,0,0,0,0,"-1","None","None",0,9,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2766,50,"RL",60,12144,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin",4,6,1950,1950,"Gable","CompShg","BrkComm","Wd Sdng","None",0,"2","2","CBlock","2","2","0","Rec",455,"Unf",0,455,910,"GasA","Gd","Y","3",910,611,0,1521,0,0,1,1,3,1,"3",6,"2",0,"-1","Detchd","1950","Unf",1,597,"1","2","2",199,0,168,0,0,0,"-1","None","None",0,9,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2767,90,"RL",60,8544,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","Duplex","1Story",3,4,1950,1950,"Gable","CompShg","BrkFace","Stone","None",0,"2","2","Slab","-1","-1","-1","None",0,"None",0,0,0,"Wall","Fa","N","1",1040,0,0,1040,0,0,2,0,2,2,"2",6,"0",0,"-1","Detchd","1950","Unf",2,400,"2","1","2",0,0,0,0,0,0,"-1","None","None",0,12,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2768,90,"RL",75,8512,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,5,1960,1960,"Hip","CompShg","BrkFace","BrkFace","None",0,"2","2","CBlock","2","1","0","Unf",0,"Unf",0,1556,1556,"GasA","TA","Y","3",1556,0,0,1556,0,0,2,0,4,2,"2",8,"0",0,"-1","None","None","None",0,0,"-1","-1","2",0,0,0,0,0,0,"-1","None","None",0,9,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2769,20,"RL",70,7000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,4,1961,1961,"Hip","CompShg","BrkFace","BrkFace","None",0,"2","2","CBlock","2","2","0","GLQ",781,"Unf",0,369,1150,"GasA","TA","Y","3",1150,0,0,1150,0,0,1,0,3,1,"2",6,"0",0,"-1","Attchd","1961","RFn",1,288,"2","2","2",0,0,0,0,162,0,"-1","None","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2770,20,"RL",74,7400,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","1Story",7,6,1962,1962,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","0","LwQ",809,"Unf",0,236,1045,"GasA","Gd","Y","3",1045,0,0,1045,1,0,1,0,3,1,"2",6,"0",0,"-1","Detchd","1962","Unf",2,528,"2","2","2",0,0,0,0,0,0,"-1","None","None",0,3,2006,"WD","Normal",0,1,0,0,1,0,0,0,0
2771,20,"RL",70,7000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","1Fam","1Story",5,6,1962,1962,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","CBlock","2","2","0","BLQ",468,"Unf",0,396,864,"GasA","Gd","Y","3",864,0,0,864,0,1,1,0,3,1,"2",5,"0",0,"-1","Attchd","1962","Unf",1,336,"2","2","2",0,0,0,0,0,0,"-1","GdWo","None",0,2,2006,"WD","Normal",0,1,0,0,1,0,0,0,0
2772,190,"RL",70,7000,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Artery","Norm","2fmCon","SFoyer",5,5,1962,1962,"Gable","CompShg","MetalSd","MetalSd","None",0,"2","2","CBlock","2","2","2","ALQ",953,"Unf",0,72,1025,"GasA","TA","Y","3",1025,0,0,1025,1,0,1,0,3,1,"2",6,"0",0,"-1","None","None","None",0,0,"-1","-1","2",96,80,0,0,0,0,"-1","None","None",0,3,2006,"WD","Normal",0,1,0,0,1,0,0,0,0
2773,70,"RM",62,9856,"Pave","Grvl","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story",5,8,1900,2005,"Hip","CompShg","CemntBd","CmentBd","None",0,"3","3","PConc","1","2","0","Unf",0,"Unf",0,716,716,"GasA","Ex","Y","2",1007,1007,0,2014,0,0,2,0,5,1,"2",8,"0",0,"-1","Detchd","1900","Unf",2,624,"2","2","2",0,72,167,0,0,0,"-1","None","None",0,6,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2774,50,"RM",60,9600,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,6,1948,1950,"Gable","CompShg","MetalSd","MetalSd","Stone",264,"2","2","CBlock","2","2","0","Rec",276,"Unf",0,936,1212,"GasA","Gd","Y","2",1226,442,0,1668,1,0,1,0,3,1,"2",6,"0",0,"-1","Detchd","1948","Unf",1,240,"2","2","2",0,0,140,0,0,0,"-1","None","None",0,5,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
2775,50,"RM",60,5520,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,6,1920,1980,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"2","2","PConc","2","1","0","LwQ",284,"Unf",0,863,1147,"GasA","TA","N","3",1147,510,0,1657,0,0,1,0,4,1,"1",9,"0",1,"2","Detchd","1920","Unf",1,162,"1","1","0",0,0,0,0,0,0,"-1","None","None",0,7,2006,"WD","Normal",0,2,0,0,0,0,0,0,0
